Stock,RS_Rating,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 week High
INMD,99,39.35,36.08,35.94,27.25,46.040000915527344
VCTR,95,32.58,30.85,30.13,22.497060775756836,34.630001068115234
ARES,95,95.85,85.25,82.01,59.4567985534668,102.2699966430664
PFSI,92,71.4,64.75,62.25,42.4582633972168,81.70999908447266
OLED,92,144.6,139.88,131.48,89.29475402832031,164.60000610351562
CASH,93,49.99,47.05,45.87,31.935544967651367,56.86000061035156
STNE,96,13.0,11.38,11.11,8.239999771118164,14.649999618530273
LSCC,97,89.25,85.7,80.13,45.349998474121094,96.79000091552734
XP,89,23.31,17.32,17.22,10.649999618530273,27.280000686645508
NMIH,86,26.42,24.03,23.25,18.739999771118164,29.709999084472656
EDU,90,44.79,41.79,38.74,19.139999389648438,57.439998626708984
BX,94,95.48,88.86,87.52,70.28890228271484,107.34259033203125
TTD,95,80.19,64.84,60.87,39.88999938964844,91.26000213623047
FTAI,89,31.14,27.01,24.43,14.154226303100586,35.099998474121094
ADBE,90,491.81,404.13,385.07,275.20001220703125,549.0999755859375
TDG,96,859.51,778.28,735.05,509.8299865722656,914.1799926757812
LPG,96,24.76,21.08,19.91,10.883232116699219,28.69133949279785
GSHD,87,62.76,53.16,49.51,29.420000076293945,70.73999786376953
APO,95,77.29,69.06,67.14,45.64537048339844,86.2699966430664
LULU,91,372.97,348.18,345.5,279.55999755859375,390.510009765625
KLAC,92,473.95,418.56,404.43,260.5959777832031,514.280029296875
DVA,94,101.06,89.69,85.88,65.41999816894531,112.68000030517578
MHO,94,85.93,69.4,63.04,35.66999816894531,100.0
BWXT,88,68.79,64.05,62.59,49.82624053955078,75.69999694824219
BOOT,94,85.02,78.2,73.79,51.4900016784668,101.69000244140625
RH,96,330.47,293.64,286.15,231.63999938964844,401.8399963378906
MA,91,386.64,373.59,364.6,282.0697937011719,404.7900085449219
ATKR,95,147.79,137.3,130.42,70.9000015258789,163.42999267578125
V,87,233.67,227.99,222.44,176.56307983398438,243.99000549316406
IBP,95,135.53,118.34,109.48,75.17560577392578,156.86000061035156
